Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
TabPFN,0.871,0.7832699619771863,0.5061425061425061,0.6149253731343284,0.8787539465505566
TabNet,0.868,0.8016877637130801,0.4668304668304668,0.5900621118012422,0.869760361285785
Random Forest,0.84,0.5990888382687927,0.6461916461916462,0.6217494089834515,0.8629476934561681
XGBoost,0.8115,0.5267857142857143,0.7248157248157249,0.610134436401241,0.8594326221444866
LightGBM,0.8205,0.5463320463320464,0.6953316953316954,0.6118918918918919,0.8588341808680793
ANN,0.775,0.4673748103186646,0.7567567567567568,0.5778611632270169,0.858079959774875
CatBoost,0.8205,0.5444444444444444,0.7223587223587223,0.6209081309398099,0.8575524677219594
Extra Trees,0.7995,0.5052447552447552,0.7100737100737101,0.5903983656792645,0.8544353290116002
Logistic Regression,0.7135,0.38722826086956524,0.7002457002457002,0.49868766404199477,0.7771376923919298
